Date,Description,Amount
2024-01-01,Direct Deposit - ACME Corp Payroll,3500.00
2024-01-02,WHOLE FOODS MARKET #203,-87.43
2024-01-02,STARBUCKS STORE #4532,-6.75
2024-01-03,SHELL OIL 24235235,-52.30
2024-01-05,Netflix Subscription,-15.99
2024-01-05,Spotify Premium,-10.99
2024-01-06,AMAZON.COM PURCHASE,-124.50
2024-01-07,CHIPOTLE MEXICAN GRILL,-14.25
2024-01-08,CVS PHARMACY #3245,-32.18
2024-01-10,ATM WITHDRAWAL,-100.00
2024-01-12,TRADER JOES #432,-65.90
2024-01-13,UBER TRIP,-23.45
2024-01-14,ELECTRIC COMPANY PAYMENT,-125.00
2024-01-15,Rent Payment,-1800.00
2024-01-16,STARBUCKS STORE #4532,-7.25
2024-01-18,AMAZON.COM PURCHASE,-45.99
2024-01-19,TARGET STORE T-1234,-89.34
2024-01-20,RESTAURANT ITALIANO,-67.50
2024-01-22,GYM MEMBERSHIP FEE,-45.00
2024-01-23,WHOLE FOODS MARKET #203,-92.15
2024-01-25,VERIZON WIRELESS,-85.00
2024-01-26,SHELL OIL 24235235,-48.20
2024-01-28,AMAZON PRIME VIDEO,-8.99
2024-01-29,WALGREENS #4523,-23.67
2024-01-30,CHIPOTLE MEXICAN GRILL,-16.80
2024-02-01,Direct Deposit - ACME Corp Payroll,3500.00
2024-02-02,WHOLE FOODS MARKET #203,-78.32
2024-02-03,STARBUCKS STORE #4532,-6.50
2024-02-04,SHELL OIL 24235235,-55.75
2024-02-05,Netflix Subscription,-15.99
2024-02-05,Spotify Premium,-10.99
2024-02-07,AMAZON.COM PURCHASE,-234.99
2024-02-08,ELECTRIC COMPANY PAYMENT,-132.50
2024-02-09,UBER TRIP,-18.90
2024-02-10,TRADER JOES #432,-71.23
2024-02-12,CVS PHARMACY #3245,-45.60
2024-02-15,Rent Payment,-1800.00
2024-02-16,TARGET STORE T-1234,-156.78
2024-02-18,RESTAURANT SUSHI BAR,-85.00
2024-02-20,WHOLE FOODS MARKET #203,-88.45
2024-02-22,AMAZON.COM PURCHASE,-67.50
2024-02-23,GYM MEMBERSHIP FEE,-45.00
2024-02-25,VERIZON WIRELESS,-85.00
2024-02-26,SHELL OIL 24235235,-61.30
2024-02-27,STARBUCKS STORE #4532,-7.95
2024-02-28,CHIPOTLE MEXICAN GRILL,-13.50
2024-03-01,Direct Deposit - ACME Corp Payroll,3500.00
2024-03-02,WHOLE FOODS MARKET #203,-95.67
2024-03-03,UNUSUAL CHARGE - VERIFY,-500.00
2024-03-04,SHELL OIL 24235235,-49.80
2024-03-05,Netflix Subscription,-15.99
2024-03-05,Spotify Premium,-10.99
2024-03-06,AMAZON.COM PURCHASE,-89.99
2024-03-07,TRADER JOES #432,-82.15
2024-03-08,ELECTRIC COMPANY PAYMENT,-128.75
2024-03-10,STARBUCKS STORE #4532,-6.25
2024-03-12,UBER TRIP,-26.50
2024-03-15,Rent Payment,-1800.00
2024-03-16,CVS PHARMACY #3245,-38.90
2024-03-18,TARGET STORE T-1234,-145.60
2024-03-19,RESTAURANT THAI HOUSE,-72.30
2024-03-20,WHOLE FOODS MARKET #203,-103.25
2024-03-22,GYM MEMBERSHIP FEE,-45.00
2024-03-23,AMAZON.COM PURCHASE,-178.45
2024-03-25,VERIZON WIRELESS,-85.00
2024-03-26,SHELL OIL 24235235,-53.90
2024-03-28,CHIPOTLE MEXICAN GRILL,-15.75
2024-03-29,STARBUCKS STORE #4532,-8.50
2024-03-30,WALGREENS #4523,-29.85
